[0;90m2024-10-11 14:15:56.784 [0;1;93m[Warning][m: IPC channel still there, doing an unlink of server-user-0-function-0
[0;90m2024-10-11 14:15:56.784 [0;1;96m[ Debug ][m: Application registered management segment 0x747e25340000 with size 65796264 to id 1
[0;90m2024-10-11 14:15:56.785 [0;1;96m[ Debug ][m: Application registered payload data segment 0x747cae138000 with size 6293584200 to id 2
[2024-10-11 14:15:56.785] [error] Enabling use of VMM-based allocations in CUDA!
[2024-10-11 14:15:56.871] [error] Message from the orchestrator! Code 1
[2024-10-11 14:15:56.871] [info] [ExecutionStatus] CPU execution!
[2024-10-11 14:15:56.871] [error] Message from the orchestrator! Code 3
[2024-10-11 14:15:56.871] [info] [ExecutionStatus] Full execution!
[2024-10-11 14:16:01.352] [error] Total size 962.0 0
[2024-10-11 14:16:01.352] [error] Total size 962.0 0
[2024-10-11 14:16:01.354] [error] Total size 962.0 0
[2024-10-11 14:16:01.354] [error] Total size 962.0 0
[2024-10-11 14:16:01.354] [error] Total size 962.0 0
[2024-10-11 14:16:01.354] [error] Total size 962.0 0
[2024-10-11 14:16:01.354] [error] Total size 978.0 0
[2024-10-11 14:16:01.363] [error] Total size 978.0 0
[2024-10-11 14:16:01.363] [error] Total size 978.0 0
[2024-10-11 14:16:01.363] [error] Total size 994.0 0
[2024-10-11 14:16:01.371] [error] Total size 994.0 0
[2024-10-11 14:16:01.372] [error] Total size 994.0 0
[2024-10-11 14:16:01.372] [error] Total size 994.0 0
[2024-10-11 14:16:01.372] [error] Total size 994.0 0
[2024-10-11 14:16:01.374] [error] Total size 994.0 0
[2024-10-11 14:16:01.374] [error] Total size 994.0 0
[2024-10-11 14:16:01.375] [error] Total size 1014.0 0
[2024-10-11 14:16:01.376] [error] Total size 1014.0 0
[2024-10-11 14:16:01.377] [error] Total size 1014.0 0
[2024-10-11 14:16:01.379] [error] Total size 1014.0 0
[2024-10-11 14:16:01.379] [error] Total size 1014.0 0
[2024-10-11 14:16:01.381] [error] Total size 1014.0 0
[2024-10-11 14:16:01.381] [error] Total size 1014.0 0
[2024-10-11 14:16:01.381] [error] Total size 1014.0 0
[2024-10-11 14:16:01.381] [error] Total size 1014.0 0
[2024-10-11 14:16:01.381] [error] Total size 1030.0 0
[2024-10-11 14:16:01.389] [error] Total size 1030.0 0
[2024-10-11 14:16:01.390] [error] Total size 1030.0 0
[2024-10-11 14:16:01.390] [error] Total size 1046.0 0
[2024-10-11 14:16:01.398] [error] Total size 1046.0 0
[2024-10-11 14:16:01.398] [error] Total size 1046.0 0
[2024-10-11 14:16:01.398] [error] Total size 1046.0 0
[2024-10-11 14:16:01.398] [error] Total size 1046.0 0
[2024-10-11 14:16:01.400] [error] Total size 1046.0 0
[2024-10-11 14:16:01.401] [error] Total size 1046.0 0
[2024-10-11 14:16:01.402] [error] Total size 1046.0 0
[2024-10-11 14:16:01.402] [error] Total size 1046.0 0
[2024-10-11 14:16:01.403] [error] Total size 1066.0 0
[2024-10-11 14:16:01.404] [error] Total size 1066.0 0
[2024-10-11 14:16:01.405] [error] Total size 1066.0 0
[2024-10-11 14:16:01.407] [error] Total size 1066.0 0
[2024-10-11 14:16:01.407] [error] Total size 1066.0 0
[2024-10-11 14:16:01.407] [error] Total size 1066.0 0
[2024-10-11 14:16:01.407] [error] Total size 1066.0 0
[2024-10-11 14:16:01.407] [error] Total size 1082.0 0
[2024-10-11 14:16:01.415] [error] Total size 1082.0 0
[2024-10-11 14:16:01.416] [error] Total size 1082.0 0
[2024-10-11 14:16:01.416] [error] Total size 1098.0 0
[2024-10-11 14:16:01.424] [error] Total size 1098.0 0
[2024-10-11 14:16:01.424] [error] Total size 1098.0 0
[2024-10-11 14:16:01.424] [error] Total size 1098.0 0
[2024-10-11 14:16:01.424] [error] Total size 1098.0 0
[2024-10-11 14:16:01.426] [error] Total size 1098.0 0
[2024-10-11 14:16:01.427] [error] Total size 1098.0 0
[2024-10-11 14:16:01.428] [error] Total size 1098.0 0
[2024-10-11 14:16:01.429] [error] Total size 1098.0 0
[2024-10-11 14:16:01.430] [error] Total size 1098.0 0
[2024-10-11 14:16:01.431] [error] Total size 1098.0 0
[2024-10-11 14:16:01.431] [error] Total size 1118.0 0
[2024-10-11 14:16:01.433] [error] Total size 1118.0 0
[2024-10-11 14:16:01.433] [error] Total size 1118.0 0
[2024-10-11 14:16:01.433] [error] Total size 1118.0 0
[2024-10-11 14:16:01.433] [error] Total size 1118.0 0
[2024-10-11 14:16:01.441] [error] Total size 1118.0 0
[2024-10-11 14:16:01.441] [error] Total size 1118.0 0
[2024-10-11 14:16:01.442] [error] Total size 1134.0 0
[2024-10-11 14:16:01.450] [error] Total size 1134.0 0
[2024-10-11 14:16:01.450] [error] Total size 1134.0 0
[2024-10-11 14:16:01.450] [error] Total size 1134.0 0
[2024-10-11 14:16:01.450] [error] Total size 1134.0 0
[2024-10-11 14:16:01.450] [error] Total size 1154.0 0
[2024-10-11 14:16:01.452] [error] Total size 1154.0 0
[2024-10-11 14:16:01.453] [error] Total size 1154.0 0
[2024-10-11 14:16:01.454] [error] Total size 1154.0 0
[2024-10-11 14:16:01.455] [error] Total size 1154.0 0
[2024-10-11 14:16:01.456] [error] Total size 1154.0 0
[2024-10-11 14:16:01.457] [error] Total size 1154.0 0
[2024-10-11 14:16:01.459] [error] Total size 1154.0 0
[2024-10-11 14:16:01.459] [error] Total size 1154.0 0
[2024-10-11 14:16:01.459] [error] Total size 1154.0 0
[2024-10-11 14:16:01.459] [error] Total size 1154.0 0
[2024-10-11 14:16:01.459] [error] Total size 1170.0 0
[2024-10-11 14:16:01.467] [error] Total size 1170.0 0
